MS_system,Name,AvgCyclomatic,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,RatioCommentToCode,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLineCodeDecl,CountLineCodeExe,CountOutput,CountSemicolon,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountLineInactive
Basilisk,org.dicegroup.basilisk.repositoryService.web.controllers.repo,1.0,4.0,315.0,52.0,242.0,21.0,167.0,112.0,68.0,,"0,09",6.0,0.0,6.0,0.0,,,,,4.0,0.0,0.0,,,28.0,10.0,28.0,,0.0,9.0,0.0,19.0,,141.0,75.0,,126.0,3.0,,1.0,,,37.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.web.messaging,1.0,2.0,75.0,19.0,56.0,0.0,37.0,30.0,7.0,,"0,00",3.0,0.0,3.0,0.0,,,,,2.0,0.0,0.0,,,7.0,4.0,7.0,,0.0,0.0,0.0,7.0,,40.0,7.0,,28.0,1.0,,0.0,,,7.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.web.proxies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.web.proxies.docker,2.0,2.0,78.0,21.0,57.0,0.0,44.0,31.0,19.0,,"0,00",9.0,1.0,8.0,0.0,,,,,2.0,0.0,0.0,,,4.0,3.0,4.0,,2.0,0.0,0.0,2.0,,37.0,19.0,,35.0,4.0,,2.0,,,7.0,,,,,,,,,,,,,
blog-microservices,se,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
blog-microservices,se.callista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
blog-microservices,se.callista.microservices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
blog-microservices,se.callista.microservices.composite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
blog-microservices,se.callista.microservices.composite.product,1.0,2.0,66.0,13.0,51.0,2.0,32.0,28.0,6.0,,"0,04",4.0,1.0,3.0,0.0,,,,,2.0,1.0,1.0,,,2.0,0.0,3.0,,1.0,0.0,0.0,2.0,,41.0,6.0,,27.0,1.0,,0.0,,,4.0,,,,,,,,,,,,,
blog-microservices,se.callista.microservices.composite.product.model,1.0,4.0,165.0,33.0,116.0,16.0,87.0,53.0,37.0,,"0,14",4.0,0.0,4.0,0.0,,,,,4.0,0.0,0.0,,,21.0,16.0,21.0,,0.0,0.0,0.0,21.0,,53.0,41.0,,60.0,5.0,,1.0,,,27.0,,,,,,,,,,,,,
