source,A,CCRC,Ca,Ce,NOC,NOI,PkgRCi,PkgTCi,TLOC,Aa,Ad,Ai,Ait,Ao,Av,ClRCi,ClTCi,DIT,HMd,HMi,MHF,MIF,Ma,Md,Mi,Mit,Mo,NF,NM,NMA,NMI,NOA,NOCh,NOD,NOL,NOPa,NORM,NPF,NPM,NSF,NSM,PMR,PMd,PMi,RTLOC,SIX,WMC,Ci,Di,Fin,Fout,IOVars,MCLC,NBD,NCOMP,NOP,NVAR,Si,VG,DMS,I,AHF,AIF,LCOM*,NMIR,PF
io.javabrains.movieinfoservice.resources,0.0,200.0,0.0,1.0,1.0,0.0,4.666666667,4.666666667,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
io.javabrains.ratingsdataservice,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
io.javabrains.ratingsdataservice.model,0.0,50.0,1.0,0.0,2.0,0.0,1.2,12.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
io.javabrains.ratingsdataservice.resources,0.0,200.0,0.0,1.0,1.0,0.0,2.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
io.javabrains.discoveryserver,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.piggymetrics.account,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.piggymetrics.account.client,0.5,175.0,2.0,4.0,4.0,2.0,1.0,5.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166666667,0.666666667,,,,,
com.piggymetrics.account.config,0.0,0.0,0.0,1.0,1.0,0.0,1.166666667,7.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.piggymetrics.account.controller,0.0,300.0,0.0,2.0,3.0,0.0,2.416666667,29.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.piggymetrics.account.domain,0.0,50.0,11.0,0.0,4.0,0.0,1.0,36.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
com.piggymetrics.account.repository,0.5,200.0,2.0,2.0,2.0,1.0,34.333333333,103.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5,,,,,
com.piggymetrics.account.service,0.333333333,566.666666667,2.0,3.0,3.0,1.0,391.9,4702.8,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066666667,0.6,,,,,
com.piggymetrics.account.service.security,0.0,0.0,1.0,0.0,1.0,0.0,1.9,19.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
com.piggymetrics.turbine,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.piggymetrics.registry,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.piggymetrics.statistics,0.0,133.333333333,0.0,2.0,3.0,0.0,0.666666667,2.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.piggymetrics.statistics.client,0.333333333,200.0,2.0,3.0,3.0,1.0,14.0,56.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066666667,0.6,,,,,
com.piggymetrics.statistics.config,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.piggymetrics.statistics.controller,0.0,500.0,0.0,2.0,2.0,0.0,11.142857143,78.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.piggymetrics.statistics.domain,0.0,50.0,10.0,0.0,4.0,0.0,1.0,31.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
com.piggymetrics.statistics.domain.timeseries,0.0,66.666666667,9.0,0.0,3.0,0.0,1.263157895,24.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
com.piggymetrics.statistics.repository,0.5,200.0,2.0,2.0,2.0,1.0,35.333333333,106.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5,,,,,
com.piggymetrics.statistics.repository.converter,0.0,0.0,1.0,2.0,2.0,0.0,2.0,4.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,0.666666667,,,,,
com.piggymetrics.statistics.service,0.333333333,433.333333333,2.0,5.0,6.0,2.0,25.829166667,516.583333333,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047619048,0.714285714,,,,,
com.piggymetrics.statistics.service.security,0.0,0.0,1.0,0.0,1.0,0.0,1.9,19.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
com.piggymetrics.monitoring,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.piggymetrics.config,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.piggymetrics.notification,0.0,133.333333333,0.0,2.0,3.0,0.0,0.666666667,2.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.piggymetrics.notification.client,1.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
com.piggymetrics.notification.config,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.piggymetrics.notification.controller,0.0,300.0,0.0,2.0,2.0,0.0,4.333333333,26.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.piggymetrics.notification.domain,0.0,50.0,12.0,0.0,2.0,0.0,1.0,13.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
com.piggymetrics.notification.repository,0.5,150.0,2.0,2.0,2.0,1.0,105.625,845.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5,,,,,
com.piggymetrics.notification.repository.converter,0.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
com.piggymetrics.notification.service,0.333333333,266.666666667,2.0,8.0,9.0,3.0,2.25,60.75,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133333333,0.8,,,,,
com.piggymetrics.auth,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
