MS_system,Microservice,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLineCodeDecl,CountLineCodeExe,CountSemicolon,SumCyclomatic,PackageSumCa,PackageSumCe,PackageSumNOC,PackageSumNOI,PackageSumPkgRCi,PackageSumPkgTCi,PackageSumTLOC,degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,closeness_centralty,betweenness_centrality,load_centrality,harmonic_centrality,information_centrality,currrent_flow_centrality,subgraph_centrality
microservice-kafka,invoicing,15.0,751.0,174.0,577.0,3.0,370.0,256.0,128.0,16.0,3.0,2.0,0.0,77.0,29.0,80.0,1.0,3.0,0.0,76.0,322.0,174.0,273.0,83.0,3.0,3.0,16.0,1.0,4.9121621630000005,126.833333333,353.0,0.5714285714285714,0.4285714285714285,0.1428571428571428,0.4999962518573184,0.6363636363636364,0.0238095238095238,0.0238095238095238,5.0,0.1636363636363635,0.2328042328042328,4.312729567368953
microservice-kafka,shipping,15.0,684.0,165.0,519.0,3.0,351.0,245.0,120.0,16.0,3.0,2.0,0.0,70.0,27.0,73.0,1.0,3.0,0.0,69.0,307.0,138.0,261.0,74.0,3.0,3.0,16.0,1.0,4.68159204,100.333333333,329.0,0.5714285714285714,0.4285714285714285,0.1428571428571428,0.4999962518573184,0.6363636363636364,0.0238095238095238,0.0238095238095238,5.0,0.1636363636363636,0.2328042328042326,4.312729567368956
microservices-basics-spring-boot,api-gateway,8.0,415.0,49.0,220.0,157.0,136.0,105.0,39.0,10.0,3.0,2.0,0.0,12.0,0.0,15.0,1.0,3.0,1.0,10.0,132.0,74.0,111.0,17.0,,,,,,,,0.4,0.3,0.1,0.7071090452589373,0.54,0.0888888888888888,0.0888888888888888,6.0,0.1,0.2361111111111109,6.135153167394774
microservices-basics-spring-boot,comments-webservice,8.0,697.0,81.0,337.0,286.0,235.0,139.0,102.0,10.0,2.0,2.0,0.0,32.0,11.0,34.0,0.0,0.0,0.0,34.0,172.0,130.0,160.0,69.0,,,,,,,,0.3,0.2,0.1,4.767882004752669e-07,0.2249999999999999,0.0,0.0,2.5,0.1038961038961039,0.0861111111111111,8.217048803138328
microservices-basics-spring-boot,configserver,2.0,71.0,8.0,24.0,39.0,15.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18.0,2.0,11.0,2.0,,,,,,,,0.9,0.1,0.8,3.161026743482431e-09,0.1,0.1,0.1,1.0,0.1441441441441441,0.6597222222222221,22.35762659964513
microservices-basics-spring-boot,task-webservice,22.0,2000.0,243.0,1024.0,745.0,735.0,433.0,336.0,26.0,2.0,12.0,0.0,102.0,29.0,104.0,6.0,7.0,2.0,89.0,550.0,403.0,520.0,201.0,,,,,,,,0.3,0.1,0.2,4.5940255338611345e-08,0.1333333333333333,0.0,0.0,1.5,0.1038961038961038,0.0861111111111112,8.217048803138328
microservices-basics-spring-boot,user-webservice,10.0,760.0,81.0,379.0,309.0,252.0,136.0,119.0,10.0,2.0,1.0,0.0,36.0,12.0,38.0,0.0,0.0,1.0,37.0,176.0,163.0,167.0,81.0,,,,,,,,0.2,0.1,0.1,4.5940255338611345e-08,0.1333333333333333,0.0,0.0,1.5,0.0909090909090909,0.0416666666666667,5.240442319102928
microservices-basics-spring-boot,web-portal,2.0,86.0,8.0,37.0,42.0,22.0,19.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,28.0,4.0,17.0,3.0,,,,,,,,0.2,0.1,0.1,4.5940255338611345e-08,0.1333333333333333,0.0,0.0,1.5,0.0909090909090909,0.0416666666666667,5.2404423191029315
microservices-basics-spring-boot,webservice-registry,2.0,69.0,8.0,26.0,35.0,16.0,14.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,20.0,2.0,12.0,2.0,,,,,,,,0.7000000000000001,0.6000000000000001,0.1,5.130557139788221e-06,0.6124999999999999,0.1111111111111111,0.1111111111111111,6.5,0.134453781512605,0.4124999999999998,18.739793432112663
microservices-basics-spring-boot,zipkin-tracing,1.0,21.0,4.0,11.0,6.0,7.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.1,0.1,0.0,4.5940255338611345e-08,0.1333333333333333,0.0,0.0,1.5,0.0627450980392156,7.894919286223336e-17,2.3335869046965967
