MS_system,Microservice,Degree Centrality,In-degree Centrality,Out-degree Centrality,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality,Load Centrality,Harmonic Centrality,Information Centrality,Currrent Flow Centrality,Subgraph Centrality,Violations,Code smells,Major violations,SQ maintainability remediation effort,Minor violations,Duplicated blocks,Critical violations,Avg(Security rating),Security remediation effort,SQ security remediation effort,Max(Security rating)
train-ticket,ts-food-service,0.1428571428571428,0.0571428571428571,0.0857142857142857,1.679206121358046e-10,0.0571428571428571,0.0042016806722689,0.0042016806722689,2.0,0.0327965999849843,0.1947760160155597,20.7789804017349,66.0,66.0,48.0,344.0,10.0,12.0,6.0,1.0,0.0,0.0,1.0
train-ticket,ts-inside-payment-service,0.1428571428571428,0.0571428571428571,0.0857142857142857,1.679206121358046e-10,0.0571428571428571,0.0021008403361344,0.0021008403361344,2.0,0.0334042231488389,0.1262893132236247,17.075194382666115,58.0,46.0,44.0,200.0,12.0,13.0,2.0,1.0,0.0,0.0,1.0
train-ticket,ts-notification-service,0.0571428571428571,0.0285714285714285,0.0285714285714285,8.402494063762365e-11,0.0285714285714285,0.0008403361344537,0.0008403361344537,1.0,0.0161631010966359,0.057142857142858,2.6013917891190386,58.0,58.0,40.0,272.0,16.0,18.0,2.0,1.0,0.0,0.0,1.0
train-ticket,ts-order-service,0.2571428571428571,0.2285714285714285,0.0285714285714285,0.0038459373189644,0.2571428571428571,0.0035714285714285,0.003641456582633,11.0,0.0403513917313028,0.1993790080243659,53.16418552382257,36.0,36.0,30.0,212.0,4.0,32.0,2.0,1.0,0.0,0.0,1.0
train-ticket,ts-preserve-other-service,0.3142857142857143,0.0,0.3142857142857143,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0425457357921408,0.2613748380860873,78.25189828213092,63.0,63.0,18.0,318.0,37.0,16.0,4.0,1.0,0.0,0.0,1.0
train-ticket,ts-preserve-service,0.3142857142857143,0.0,0.3142857142857143,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0425700420033954,0.2582182859245805,83.99939571638457,50.0,50.0,18.0,188.0,24.0,16.0,4.0,1.0,0.0,0.0,1.0
train-ticket,ts-price-service,0.0571428571428571,0.0571428571428571,0.0,0.003845773722405,0.1382857142857143,0.0,0.0,5.666666666666665,0.0244131648141238,0.0210334681114627,5.05986802118967,22.0,22.0,18.0,110.0,2.0,18.0,2.0,1.0,0.0,0.0,1.0
train-ticket,ts-rebook-service,0.1714285714285714,0.0,0.1714285714285714,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0375985716991094,0.1221964175541738,41.12442466093225,42.0,42.0,4.0,168.0,30.0,6.0,6.0,1.0,0.0,0.0,1.0
train-ticket,ts-route-plan-service,0.1142857142857142,0.0285714285714285,0.0857142857142857,8.402494063762365e-11,0.0285714285714285,0.0002801120448179,0.0002801120448179,1.0,0.0321720810141225,0.0365103843272921,24.393796878014893,30.0,30.0,8.0,116.0,16.0,10.0,6.0,1.0,0.0,0.0,1.0
train-ticket,ts-route-service,0.1999999999999999,0.1999999999999999,0.0,0.003869522321823,0.2304761904761904,0.0,0.0,9.0,0.0374485216819562,0.1022558528763639,48.91876868783647,16.0,16.0,14.0,74.0,2.0,8.0,0.0,1.0,0.0,0.0,1.0
train-ticket,ts-seat-service,0.2571428571428571,0.1714285714285714,0.0857142857142857,2.3721501245379898e-05,0.1928571428571428,0.0193277310924369,0.0194677871148459,7.5,0.0410795797186183,0.1745840634006986,81.68642107617592,26.0,24.0,6.0,74.0,18.0,4.0,2.0,1.0,0.0,0.0,1.0
train-ticket,ts-security-service,0.1142857142857142,0.0571428571428571,0.0571428571428571,1.679206121358046e-10,0.0571428571428571,0.0008403361344537,0.0008403361344537,2.0,0.0338689455057337,0.0597270069018055,24.041711766019752,12.0,12.0,8.0,48.0,4.0,6.0,0.0,1.0,0.0,0.0,1.0
train-ticket,ts-train-food-service,0.0285714285714285,0.0285714285714285,0.0,5.4448420071459114e-08,0.0514285714285714,0.0,0.0,2.0,0.0155060478876874,0.0,2.0201898350183236,15.0,15.0,0.0,150.0,15.0,8.0,0.0,1.0,0.0,0.0,1.0
train-ticket,ts-train-service,0.1999999999999999,0.1999999999999999,0.0,0.0038694951396254,0.2304761904761904,0.0,0.0,9.0,0.0379879333908327,0.0968780757352626,52.61160673573367,30.0,30.0,28.0,160.0,0.0,12.0,2.0,1.0,0.0,0.0,1.0
train-ticket,ts-travel-plan-service,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0346705950425055,0.0533505194323301,36.03156252272678,70.0,70.0,52.0,350.0,14.0,16.0,4.0,1.0,0.0,0.0,1.0
train-ticket,ts-travel-service,0.2857142857142857,0.1714285714285714,0.1142857142857142,8.20500959943606e-08,0.175,0.017296918767507,0.0172268907563025,6.5,0.041122789366116,0.1820724278841263,97.71209267419673,84.0,84.0,68.0,420.0,14.0,34.0,2.0,1.0,0.0,0.0,1.0
train-ticket,ts-travel2-service,0.2285714285714285,0.1142857142857142,0.1142857142857142,2.7517909520542843e-08,0.1142857142857142,0.0080532212885154,0.0079831932773109,4.0,0.0389653542571212,0.1023286071670672,70.1692856597961,83.0,83.0,40.0,500.0,41.0,32.0,2.0,1.0,0.0,0.0,1.0
website,backend,0.5,0.25,0.25,0.3768150168973653,0.5,0.0833333333333333,0.0833333333333333,2.333333333333333,0.2580645161290322,0.1458333333333333,3.1036748801962624,365.0,357.0,148.0,2350.0,163.0,27.0,11.0,1.0,0.0,0.0,1.0
