MS_system,Package,SQ reliability remediation effort,Security rating,Critical violations,Violations,Sqale rating,Cognitive complexity,Minor violations,Info violations,Security remediation effort,SQ maintainability remediation effort,Security hotspots,Effort to reach rating A,Duplicated blocks,Reliability remediation effort,Reliability rating,Code smells,SQ security remediation effort,Bugs,Major violations
spring-boot-microservices,com.rohitghatol.microservices.user,0,1.0,1,2,1.0,26,0,1,0,10,0,0,1,0,1.0,2,0,0,0
spring-boot-microservices,com.rohitghatol.microservices.task.model,15,1.0,0,1,1.0,30,0,0,0,0,0,0,2,15,3.0,0,0,1,1
spring-boot-microservices,com.rohitghatol.microservices.portal,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
spring-boot-microservices,com.rohitghatol.microservices.task,15,1.0,1,4,1.0,62,1,1,0,11,0,0,3,15,3.0,3,0,1,1
spring-boot-microservices,com.rohitghatol.microservices.registry,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
spring-boot-microservices-workshop,io.javabrains.discoveryserver,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
spring-boot-microservices-workshop,io.javabrains.moviecatalogservice,0,1.0,0,3,1.0,0,1,0,0,16,0,0,3,0,1.0,3,0,0,2
spring-boot-microservices-workshop,io.javabrains.movieinfoservice,0,1.0,0,0,1.0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0
spring-boot-microservices-workshop,io.javabrains.ratingsdataservice,0,1.0,0,1,1.0,0,0,0,0,10,0,0,2,0,1.0,1,0,0,1
spring-boot-microservices-workshop,io.javabrains.ratingsdataservice.model,0,1.0,0,1,1.0,0,0,0,0,10,0,0,2,0,1.0,1,0,0,1
spring-boot-microservices-workshop,io.javabrains.moviecatalogservice.models,0,1.0,0,2,1.0,0,1,0,0,11,0,0,3,0,1.0,2,0,0,1
spring-boot-microservices-workshop,io.javabrains.movieinfoservice.models,0,1.0,0,0,1.0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0
spring-boot-microservices-workshop,io.javabrains.moviecatalogservice.resources,0,1.0,0,1,1.0,0,0,0,0,5,0,0,0,0,1.0,1,0,0,1
