MS_system,Microservice,degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,information_centrality,currrent_flow_centrality,subgraph_centrality,CountDeclMethodProtected,CountLineComment,MethodAvg_IOVars,CountLineCodeExe,MethodMax_Si,ClassAvg_NF,CountStmtExe,ClassAvg_Ad,ClassAvg_Aa,ClassSum_HMd,ClassSum_RTLOC,CountSemicolon,PackageSum_TLOC,CountLineCode,CountStmt,ClassAvg_NM,ClassAvg_NOL,CountDeclClassMethod,CountStmtDecl,CountLine,CountLineCodeDecl,ClassAvg_Md,ClassSum_NOL,ClassSum_NSM,ClassAvg_HMd,CountDeclMethodPrivate,CountDeclClassVariable,ClassSum_NSF,CountDeclClass,ClassAvg_Ma,ClassSum_NPM,CountDeclMethodPublic,ClassSum_PMd,ClassAvg_NSM,CountDeclMethodDefault
train-ticket,ts-config-service,0.0571428571428571,0.0571428571428571,0.0,0.0038458280868001,0.1503105590062111,0.0,0.0,6.0,0.0247141119197419,0.0247141502020539,5.094163862480831,1.0,97.0,1.3333333333333333,172.0,0.0,1.7,131.0,1.7,1.7,1.0,502.0,255.0,256.0,470.0,308.0,4.5,1.2,1.0,215.0,663.0,291.0,3.7,12.0,1.0,0.1,0.0,2.0,2.0,11.0,3.7,34.0,37.0,36.0,0.1,8.0
train-ticket,ts-consign-price-service,0.0285714285714285,0.0285714285714285,0.0,5.4448420071459114e-08,0.0514285714285714,0.0,0.0,2.0,0.0139227157899016,0.0,1.7625693155731017,1.0,80.0,1.2857142857142858,149.0,0.0,2.1,114.0,2.1,2.1,1.0,426.0,241.0,222.0,427.0,285.0,3.4,1.2,1.0,203.0,584.0,273.0,3.0,12.0,1.0,0.1,0.0,4.0,4.0,11.0,3.0,28.0,30.0,29.0,0.1,5.0
train-ticket,ts-consign-service,0.0857142857142857,0.0571428571428571,0.0285714285714285,1.679206121358046e-10,0.0571428571428571,0.0016806722689075,0.0016806722689075,2.0,0.026437494199981,0.0638170468397429,9.958915942203546,1.0,162.0,1.434782608695652,215.0,0.0,3.230769230769231,161.0,3.230769230769231,3.230769230769231,2.0,659.0,339.0,316.0,588.0,395.0,3.5384615384615383,1.0769230769230769,1.0,291.0,864.0,381.0,2.8461538461538463,14.0,1.0,0.1538461538461538,1.0,2.0,2.0,18.0,2.8461538461538463,33.0,36.0,35.0,0.0769230769230769,9.0
train-ticket,ts-contacts-service,0.0857142857142857,0.0857142857142857,0.0,2.5181628363398655e-10,0.0857142857142857,0.0,0.0,3.0,0.0302833153731375,0.045107962333352,11.962054753755886,1.0,133.0,1.3898305084745763,254.0,0.0,1.9,207.0,1.9,1.9,1.0,665.0,342.0,355.0,628.0,416.0,5.9,1.2,2.0,271.0,886.0,372.0,4.7,12.0,1.0,0.1,0.0,2.0,2.0,12.0,4.7,45.0,52.0,46.0,0.1,13.0
train-ticket,ts-food-service,0.1428571428571428,0.0571428571428571,0.0857142857142857,1.679206121358046e-10,0.0571428571428571,0.0042016806722689,0.0042016806722689,2.0,0.0327965999849843,0.19477601601556,20.7789804017349,2.0,161.0,1.7777777777777777,403.0,0.0,2.3333333333333335,315.0,2.3333333333333335,2.3333333333333335,4.0,1120.0,583.0,590.0,1024.0,705.0,3.857142857142857,1.0,2.0,464.0,1421.0,592.0,2.8095238095238093,21.0,2.0,0.1904761904761904,2.0,7.0,7.0,26.0,2.8095238095238093,51.0,57.0,55.0,0.0952380952380952,22.0
train-ticket,ts-inside-payment-service,0.1428571428571428,0.0571428571428571,0.0857142857142857,1.679206121358046e-10,0.0571428571428571,0.0021008403361344,0.0021008403361344,2.0,0.0334042231488389,0.1262893132236245,17.075194382666115,1.0,218.0,1.4814814814814814,498.0,0.0,2.3157894736842106,411.0,2.3157894736842106,2.3157894736842106,5.0,1152.0,614.0,660.0,1095.0,747.0,4.2631578947368425,1.368421052631579,6.0,475.0,1538.0,623.0,3.473684210526316,26.0,4.0,0.2631578947368421,4.0,3.0,3.0,24.0,3.473684210526316,55.0,72.0,61.0,0.2105263157894736,21.0
train-ticket,ts-notification-service,0.0571428571428571,0.0285714285714285,0.0285714285714285,8.402494063762365e-11,0.0285714285714285,0.0008403361344537,0.0008403361344537,1.0,0.0161631010966359,0.0571428571428571,2.6013917891190386,1.0,83.0,1.2307692307692308,256.0,0.0,3.9375,207.0,3.9375,3.9375,1.0,683.0,420.0,405.0,669.0,488.0,3.25,1.3125,1.0,329.0,913.0,413.0,2.8125,21.0,1.0,0.0625,0.0,4.0,4.0,17.0,2.8125,42.0,45.0,44.0,0.0625,7.0
train-ticket,ts-order-service,0.2571428571428571,0.2285714285714285,0.0285714285714285,0.0038459373189644,0.2571428571428571,0.0035714285714285,0.003641456582633,11.0,0.0403513917313029,0.1993790080243654,53.16418552382257,1.0,92.0,1.5182481751824817,758.0,64.0,4.416666666666667,630.0,4.416666666666667,4.416666666666667,2.0,1527.0,822.0,1034.0,1429.0,998.0,11.333333333333334,1.75,1.0,534.0,1752.0,708.0,9.416666666666666,21.0,1.0,0.1666666666666666,1.0,2.0,2.0,15.0,9.416666666666666,108.0,112.0,111.0,0.0833333333333333,24.0
train-ticket,ts-preserve-other-service,0.3142857142857143,0.0,0.3142857142857143,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0425457357921408,0.2613748380860863,78.25189828213092,1.0,67.0,1.935483870967742,426.0,0.0,1.8888888888888888,294.0,1.8888888888888888,1.8888888888888888,10.0,740.0,400.0,409.0,690.0,457.0,3.4444444444444446,0.6666666666666666,1.0,277.0,891.0,336.0,3.3333333333333335,6.0,1.0,1.1111111111111112,9.0,4.0,4.0,21.0,3.3333333333333335,20.0,21.0,20.0,0.1111111111111111,1.0
train-ticket,ts-preserve-service,0.3142857142857143,0.0,0.3142857142857143,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0425700420033955,0.2582182859245804,83.99939571638457,1.0,67.0,1.935483870967742,423.0,0.0,1.8888888888888888,292.0,1.8888888888888888,1.8888888888888888,10.0,730.0,400.0,407.0,688.0,457.0,3.4444444444444446,0.6666666666666666,1.0,277.0,881.0,336.0,3.3333333333333335,6.0,1.0,1.1111111111111112,9.0,4.0,4.0,20.0,3.3333333333333335,20.0,21.0,20.0,0.1111111111111111,1.0
