Package,A,CCRC,Ca,Ce,NOC,NOI,PkgRCi,PkgTCi,TLOC,DMS,I
pl.piomin.services.department,0.0,233.333333333,0.0,3.0,3.0,0.0,2.0,22.0,68.0,0.0,1.0
pl.piomin.services.department.client,1.0,100.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,0.333333333,0.333333333
pl.piomin.services.department.controller,0.0,300.0,0.0,1.0,1.0,0.0,2.083333333,12.5,31.0,0.0,1.0
pl.piomin.services.department.model,0.0,50.0,6.0,0.0,2.0,0.0,1.227272727,27.0,80.0,1.0,0.0
pl.piomin.services.department.repository,0.0,100.0,3.0,1.0,1.0,0.0,1.75,7.0,17.0,0.75,0.25
plan,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
plan.config,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,12.0,,
plan.controller,0.0,150.0,0.0,2.0,2.0,0.0,1.111111111,10.0,53.0,0.0,1.0
plan.service,0.333333333,66.666666667,2.0,0.0,3.0,1.0,2.133333333,32.0,275.0,0.666666667,0.0
travel2,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
travel2.config,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,14.0,,
travel2.controller,0.0,150.0,0.0,2.0,2.0,0.0,1.269230769,33.0,141.0,0.0,1.0
travel2.entity,0.0,75.0,3.0,0.0,4.0,0.0,3.0,15.0,57.0,1.0,0.0
travel2.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,55.0,0.0,1.0
travel2.repository,1.0,0.0,2.0,1.0,1.0,1.0,1.5,6.0,6.0,0.333333333,0.333333333
travel2.service,0.333333333,300.0,3.0,2.0,3.0,1.0,2.057692308,107.0,538.0,0.266666667,0.4
cancel,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
cancel.config,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,12.0,,
cancel.controller,0.0,150.0,0.0,2.0,2.0,0.0,1.285714286,9.0,44.0,0.0,1.0
cancel.entity,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,17.0,,
cancel.service,0.333333333,66.666666667,2.0,0.0,3.0,1.0,1.909090909,42.0,293.0,0.666666667,0.0
verifycode,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
verifycode.config,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,12.0,,
verifycode.controller,0.0,150.0,0.0,2.0,2.0,0.0,1.6,8.0,47.0,0.0,1.0
verifycode.service,0.5,50.0,3.0,1.0,2.0,1.0,3.0,12.0,20.0,0.25,0.25
verifycode.service.impl,0.0,100.0,1.0,1.0,1.0,0.0,4.777777778,14.333333333,92.0,0.5,0.5
verifycode.util,0.0,0.0,1.0,0.0,1.0,0.0,2.5,10.0,28.0,1.0,0.0
consignprice,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,10.0,,
consignprice.config,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,12.0,,
consignprice.controller,0.0,250.0,0.0,2.0,2.0,0.0,1.181818182,13.0,58.0,0.0,1.0
consignprice.entity,0.0,0.0,7.0,0.0,1.0,0.0,1.0,1.0,10.0,1.0,0.0
consignprice.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,15.0,0.0,1.0
consignprice.repository,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,0.333333333,0.333333333
consignprice.service,0.333333333,233.333333333,3.0,3.0,3.0,1.0,1.375,22.0,114.0,0.166666667,0.5
assurance,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
assurance.config,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,12.0,,
assurance.controller,0.0,150.0,0.0,2.0,2.0,0.0,1.421052632,27.0,96.0,0.0,1.0
assurance.entity,0.0,0.0,3.0,0.0,3.0,0.0,2.0,6.0,27.0,1.0,0.0
assurance.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0
assurance.repository,1.0,0.0,3.0,1.0,1.0,1.0,1.4,7.0,7.0,0.25,0.25
assurance.service,0.333333333,333.333333333,3.0,2.0,3.0,1.0,1.515151515,50.0,251.0,0.266666667,0.4
admintravel,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
admintravel.config,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,12.0,,
admintravel.controller,0.0,150.0,0.0,2.0,2.0,0.0,1.181818182,13.0,60.0,0.0,1.0
admintravel.service,0.333333333,66.666666667,2.0,0.0,3.0,1.0,1.5,36.0,290.0,0.666666667,0.0
config,0.0,0.0,0.0,0.0,2.0,0.0,1.2,6.0,21.0,,
config.controller,0.0,250.0,0.0,2.0,2.0,0.0,1.230769231,16.0,69.0,0.0,1.0
config.entity,0.0,0.0,7.0,0.0,1.0,0.0,2.5,5.0,14.0,1.0,0.0
config.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,10.0,0.0,1.0
config.repository,1.0,0.0,2.0,1.0,1.0,1.0,1.333333333,4.0,5.0,0.333333333,0.333333333
