MS_system,Microservice,Degree Centrality,In-degree Centrality,Out-degree Centrality,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality,Load Centrality,Harmonic Centrality,Information Centrality,Currrent Flow Centrality,Subgraph Centrality,Sum(RTLOC),Sum(TLOC),Sum(NOL),Sum(NSF),Avg(NF),CountStmtExe,Avg(Ad),Avg(Aa),Sum(PMd),Avg(NSM),Sum(NSM),Avg(HMd),Sum(HMd),Sum(NPM),CountSemicolon,CountLineCode,CountStmt,CountDeclClassMethod,CountStmtDecl,CountLine,CountDeclMethodPrivate,CountDeclClassVariable,CountDeclClass,CountDeclMethodPublic,CountDeclMethodDefault,CountDeclMethodProtected,CountLineComment,CountLineCodeExe,CountLineCodeDecl
train-ticket,ts-notification-service,0.0571428571428571,0.0285714285714285,0.0285714285714285,8.402494063762365e-11,0.0285714285714285,0.0008403361344537,0.0008403361344537,1.0,0.0161631010966359,0.057142857142858,2.6013917891190386,683.0,405.0,21.0,4.0,3.9375,207.0,3.9375,3.9375,44.0,0.0625,1.0,0.0625,1.0,42.0,420.0,669.0,488.0,1.0,329.0,913.0,0.0,4.0,17.0,45.0,7.0,1.0,83.0,256.0,413.0
train-ticket,ts-order-service,0.2571428571428571,0.2285714285714285,0.0285714285714285,0.0038459373189644,0.2571428571428571,0.0035714285714285,0.003641456582633,11.0,0.0403513917313028,0.1993790080243659,53.16418552382257,1527.0,1034.0,21.0,2.0,4.416666666666667,630.0,4.416666666666667,4.416666666666667,111.0,0.0833333333333333,1.0,0.1666666666666666,2.0,108.0,822.0,1429.0,998.0,1.0,534.0,1752.0,1.0,2.0,15.0,112.0,24.0,1.0,92.0,758.0,708.0
train-ticket,ts-preserve-other-service,0.3142857142857143,0.0,0.3142857142857143,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0425457357921408,0.2613748380860873,78.25189828213092,740.0,409.0,6.0,4.0,1.8888888888888888,294.0,1.8888888888888888,1.8888888888888888,20.0,0.1111111111111111,1.0,1.1111111111111112,10.0,20.0,400.0,690.0,457.0,1.0,277.0,891.0,9.0,4.0,21.0,21.0,1.0,1.0,67.0,426.0,336.0
train-ticket,ts-preserve-service,0.3142857142857143,0.0,0.3142857142857143,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0425700420033954,0.2582182859245805,83.99939571638457,730.0,407.0,6.0,4.0,1.8888888888888888,292.0,1.8888888888888888,1.8888888888888888,20.0,0.1111111111111111,1.0,1.1111111111111112,10.0,20.0,400.0,688.0,457.0,1.0,277.0,881.0,9.0,4.0,20.0,21.0,1.0,1.0,67.0,423.0,336.0
train-ticket,ts-price-service,0.0571428571428571,0.0571428571428571,0.0,0.003845773722405,0.1382857142857143,0.0,0.0,5.666666666666665,0.0244131648141238,0.0210334681114627,5.05986802118967,597.0,376.0,12.0,2.0,2.2,228.0,2.2,2.2,39.0,0.1,1.0,0.1,1.0,38.0,361.0,603.0,426.0,1.0,247.0,769.0,0.0,2.0,11.0,40.0,11.0,1.0,49.0,274.0,326.0
train-ticket,ts-rebook-service,0.1714285714285714,0.0,0.1714285714285714,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0375985716991094,0.1221964175541738,41.12442466093225,770.0,498.0,10.0,2.0,2.2222222222222223,320.0,2.2222222222222223,2.2222222222222223,22.0,0.2222222222222222,2.0,1.4444444444444444,13.0,20.0,427.0,749.0,510.0,2.0,311.0,931.0,12.0,2.0,14.0,23.0,2.0,1.0,72.0,439.0,378.0
train-ticket,ts-route-plan-service,0.1142857142857142,0.0285714285714285,0.0857142857142857,8.402494063762365e-11,0.0285714285714285,0.0002801120448179,0.0002801120448179,1.0,0.0321720810141225,0.0365103843272921,24.393796878014893,604.0,348.0,5.0,2.0,1.7142857142857142,248.0,1.7142857142857142,1.7142857142857142,20.0,0.1428571428571428,1.0,0.8571428571428571,6.0,20.0,358.0,573.0,417.0,1.0,266.0,737.0,5.0,2.0,16.0,21.0,3.0,1.0,70.0,327.0,302.0
train-ticket,ts-route-service,0.1999999999999999,0.1999999999999999,0.0,0.003869522321823,0.2304761904761904,0.0,0.0,9.0,0.0374485216819562,0.1022558528763639,48.91876868783647,674.0,379.0,14.0,2.0,2.363636363636364,225.0,2.363636363636364,2.363636363636364,40.0,0.0909090909090909,1.0,0.0909090909090909,1.0,37.0,376.0,621.0,441.0,1.0,262.0,859.0,0.0,2.0,12.0,41.0,11.0,1.0,119.0,270.0,343.0
train-ticket,ts-seat-service,0.2571428571428571,0.1714285714285714,0.0857142857142857,2.3721501245379898e-05,0.1928571428571428,0.0193277310924369,0.0194677871148459,7.5,0.0410795797186183,0.1745840634006986,81.68642107617592,517.0,285.0,5.0,2.0,1.7142857142857142,191.0,1.7142857142857142,1.7142857142857142,18.0,0.1428571428571428,1.0,0.5714285714285714,4.0,18.0,300.0,497.0,345.0,1.0,238.0,647.0,3.0,2.0,15.0,19.0,2.0,1.0,69.0,270.0,279.0
train-ticket,ts-security-service,0.1142857142857142,0.0571428571428571,0.0571428571428571,1.679206121358046e-10,0.0571428571428571,0.0008403361344537,0.0008403361344537,2.0,0.0338689455057337,0.0597270069018055,24.041711766019752,511.0,291.0,12.0,2.0,2.0,162.0,2.0,2.0,34.0,0.1,1.0,0.4,4.0,33.0,308.0,538.0,362.0,1.0,259.0,689.0,3.0,2.0,13.0,35.0,9.0,1.0,50.0,212.0,339.0
train-ticket,ts-train-food-service,0.0285714285714285,0.0285714285714285,0.0,5.4448420071459114e-08,0.0514285714285714,0.0,0.0,2.0,0.0155060478876874,0.0,2.0201898350183236,243.0,130.0,5.0,3.0,1.375,60.0,1.375,1.375,12.0,0.125,1.0,0.25,2.0,11.0,149.0,274.0,180.0,1.0,134.0,346.0,1.0,3.0,9.0,13.0,7.0,1.0,17.0,84.0,175.0
train-ticket,ts-train-service,0.1999999999999999,0.1999999999999999,0.0,0.0038694951396254,0.2304761904761904,0.0,0.0,9.0,0.0379879333908327,0.0968780757352626,52.61160673573367,609.0,374.0,12.0,2.0,1.7,207.0,1.7,1.7,45.0,0.1,1.0,0.1,1.0,42.0,334.0,623.0,405.0,1.0,248.0,753.0,0.0,2.0,11.0,46.0,12.0,1.0,23.0,267.0,346.0
train-ticket,ts-travel-plan-service,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0346705950425055,0.0533505194323301,36.03156252272678,714.0,403.0,12.0,2.0,3.2,267.0,3.2,3.2,31.0,0.1,1.0,0.8,8.0,26.0,421.0,672.0,477.0,1.0,331.0,886.0,7.0,2.0,20.0,32.0,4.0,1.0,61.0,363.0,393.0
train-ticket,ts-travel-service,0.2857142857142857,0.1714285714285714,0.1142857142857142,8.20500959943606e-08,0.175,0.017296918767507,0.0172268907563025,6.5,0.041122789366116,0.1820724278841263,97.71209267419673,1462.0,921.0,16.0,3.0,3.357142857142857,575.0,3.357142857142857,3.357142857142857,73.0,0.1428571428571428,2.0,0.7857142857142857,11.0,66.0,762.0,1303.0,909.0,2.0,521.0,1670.0,8.0,3.0,18.0,74.0,18.0,1.0,134.0,720.0,663.0
train-ticket,ts-travel2-service,0.2285714285714285,0.1142857142857142,0.1142857142857142,2.7517909520542843e-08,0.1142857142857142,0.0080532212885154,0.0079831932773109,4.0,0.0389653542571212,0.1023286071670672,70.1692856597961,1316.0,819.0,15.0,2.0,3.4615384615384617,529.0,3.4615384615384617,3.4615384615384617,68.0,0.1538461538461538,2.0,0.6923076923076923,9.0,63.0,709.0,1215.0,838.0,2.0,484.0,1542.0,8.0,2.0,18.0,69.0,16.0,1.0,120.0,672.0,627.0
website,backend,0.5,0.25,0.25,0.3768150168973653,0.5,0.0833333333333333,0.0833333333333333,2.333333333333333,0.2580645161290322,0.1458333333333333,3.1036748801962624,3679.0,1966.0,397.0,83.0,2.4583333333333335,1499.0,2.4583333333333335,3.216666666666667,255.0,0.8666666666666667,104.0,0.2,24.0,256.0,3831.0,6966.0,4556.0,131.0,3416.0,8980.0,4.0,135.0,169.0,473.0,69.0,3.0,110.0,2335.0,4477.0
